Description_1	Special	Description
application_{train|test}.csv	SK_ID_CURR	ID of loan in our sample
application_{train|test}.csv	TARGET	Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)
application_{train|test}.csv	NAME_CONTRACT_TYPE	Identification if loan is cash or revolving
application_{train|test}.csv	CODE_GENDER	Gender of the client
application_{train|test}.csv	FLAG_OWN_CAR	Flag if the client owns a car
application_{train|test}.csv	FLAG_OWN_REALTY	Flag if client owns a house or flat
application_{train|test}.csv	CNT_CHILDREN	Number of children the client has
application_{train|test}.csv	AMT_INCOME_TOTAL	Income of the client
application_{train|test}.csv	AMT_CREDIT	Credit amount of the loan
application_{train|test}.csv	AMT_ANNUITY	Loan annuity
application_{train|test}.csv	AMT_GOODS_PRICE	For consumer loans it is the price of the goods for which the loan is given
application_{train|test}.csv	NAME_TYPE_SUITE	Who was accompanying client when he was applying for the loan
application_{train|test}.csv	NAME_INCOME_TYPE	Clients income type (businessman, working, maternity leave,?)
application_{train|test}.csv	NAME_EDUCATION_TYPE	Level of highest education the client achieved
application_{train|test}.csv	NAME_FAMILY_STATUS	Family status of the client
application_{train|test}.csv	NAME_HOUSING_TYPE	What is the housing situation of the client (renting, living with parents, ...)
application_{train|test}.csv	REGION_POPULATION_RELATIVE	Normalized population of region where client lives (higher number means the client lives in more populated region)
application_{train|test}.csv	DAYS_BIRTH	Client's age in days at the time of application
application_{train|test}.csv	DAYS_EMPLOYED	How many days before the application the person started current employment
application_{train|test}.csv	DAYS_REGISTRATION	How many days before the application did client change his registration
application_{train|test}.csv	DAYS_ID_PUBLISH	How many days before the application did client change the identity document with which he applied for the loan
application_{train|test}.csv	OWN_CAR_AGE	Age of client's car
application_{train|test}.csv	FLAG_MOBIL	Did client provide mobile phone (1=YES, 0=NO)
application_{train|test}.csv	FLAG_EMP_PHONE	Did client provide work phone (1=YES, 0=NO)
application_{train|test}.csv	FLAG_WORK_PHONE	Did client provide home phone (1=YES, 0=NO)
application_{train|test}.csv	FLAG_CONT_MOBILE	Was mobile phone reachable (1=YES, 0=NO)
application_{train|test}.csv	FLAG_PHONE	Did client provide home phone (1=YES, 0=NO)
application_{train|test}.csv	FLAG_EMAIL	Did client provide email (1=YES, 0=NO)
application_{train|test}.csv	OCCUPATION_TYPE	What kind of occupation does the client have
application_{train|test}.csv	CNT_FAM_MEMBERS	How many family members does client have
application_{train|test}.csv	REGION_RATING_CLIENT	Our rating of the region where client lives (1,2,3)
application_{train|test}.csv	REGION_RATING_CLIENT_W_CITY	Our rating of the region where client lives with taking city into account (1,2,3)
application_{train|test}.csv	WEEKDAY_APPR_PROCESS_START	On which day of the week did the client apply for the loan
application_{train|test}.csv	HOUR_APPR_PROCESS_START	Approximately at what hour did the client apply for the loan
application_{train|test}.csv	REG_REGION_NOT_LIVE_REGION	Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)
application_{train|test}.csv	REG_REGION_NOT_WORK_REGION	Flag if client's permanent address does not match work address (1=different, 0=same, at region level)
application_{train|test}.csv	LIVE_REGION_NOT_WORK_REGION	Flag if client's contact address does not match work address (1=different, 0=same, at region level)
application_{train|test}.csv	REG_CITY_NOT_LIVE_CITY	Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)
application_{train|test}.csv	REG_CITY_NOT_WORK_CITY	Flag if client's permanent address does not match work address (1=different, 0=same, at city level)
application_{train|test}.csv	LIVE_CITY_NOT_WORK_CITY	Flag if client's contact address does not match work address (1=different, 0=same, at city level)
application_{train|test}.csv	ORGANIZATION_TYPE	Type of organization where client works
application_{train|test}.csv	EXT_SOURCE_1	Normalized score from external data source
application_{train|test}.csv	EXT_SOURCE_2	Normalized score from external data source
application_{train|test}.csv	EXT_SOURCE_3	Normalized score from external data source
application_{train|test}.csv	APARTMENTS_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	BASEMENTAREA_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	YEARS_BEGINEXPLUATATION_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	YEARS_BUILD_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	COMMONAREA_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	ELEVATORS_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	ENTRANCES_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FLOORSMAX_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
application_{train|test}.csv	FLOORSMIN_AVG	Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor
